Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Sunny Came Home,Shawn Colvin,,,,,1
Time Out Of Mind,Bob Dylan,,,,,1
Sunny Came Home,nan,,,,,1
Paula Cole,nan,,,,,1
Building A Mystery,Sarah McLachlan,,,,,1
Candle In The Wind 1997,Elton John,,,,,1
Virtual Insanity,Jamiroquai,,,,,1
Don't Look Back,John Lee Hooker,,,,,1
Last Dance,Sarah McLachlan,,,,,1
Carry On,Donna Summer,,,,,1
Hourglass,James Taylor,,,,,1
Tony Bennett On Holiday,Tony Bennett,,,,,1
Criminal,Fiona Apple,,,,,1
Cold Irons Bound,Bob Dylan,,,,,1
One Headlight,nan,,,,,1
The End Is The Beginning Is The End,nan,,,,,1
Aenema,Tool,,,,,1
Block Rockin' Beats,nan,,,,,1
One Headlight,nan,,,,,1
Blue Moon Swamp,John Fogerty,,,,,1
Ok Computer,Radiohead,,,,,1
On & On,Erykah Badu,,,,,1
I Believe I Can Fly,R. Kelly,,,,,1
No Diggity,Blackstreet,,,,,1
I Believe I Can Fly,nan,,,,,1
Baduizm,Erykah Badu,,,,,1
Men In Black,Will Smith,,,,,1
I'll Be Missing You,Faith Evans,,,,,1
No Way Out,nan,,,,,1
How Do I Live,Trisha Yearwood,,,,,1
Pretty Little Adriana,Vince Gill,,,,,1
Looking In The Eyes Of Love,Alison Krauss,,,,,1
In Another's Eyes,Trisha Yearwood,,,,,1
Little Liza Jane,Alison Krauss,,,,,1
Butterfly Kisses,nan,,,,,1
Unchained,Johnny Cash,,,,,1
So Long So Wrong,Alison Krauss,,,,,1
Oracle,Michael Hedges,,,,,1
Into The Sun,Randy Brecker,,,,,1
Dear Ella,Dee Dee Bridgewater,,,,,1
Stardust,nan,,,,,1
Beyond The Missouri Sky,Charlie Haden,,,,,1
Joe Henderson Big Band,nan,,,,,1
Habana,Roy Hargrove's Crisol,,,,,1
Welcome To The Freak Show - dc Talk Live In Concert,dc Talk,,,,,1
Much Afraid,Jars Of Clay,,,,,1
Amazing Grace 2 - A Country Salute To Gospel,nan,,,,,1
I Couldn't Hear Nobody Pray,nan,,,,,1
Brothers,Take 6,,,,,1
God's Property From Kirk Franklin's Nu Nation,nan,,,,,1
