Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
"Up, Up and Away",The 5th Dimension,"Up, Up And Away",1967,49.0,163346.0,1
Sgt. Pepper's Lonely Hearts Club Band,nan,,,,,1
"Up, Up And Away",Nancy Sinatra,Movin' With Nancy,1996-01-01,7.0,146560.0,1
Mission Impossible,Nancy & Phil Tobias,Pan Pipes Feelings,2011-02-11,0.0,249093.0,1
Ode To Billie Joe,Bobbie Gentry,Ode To Billie Joe,1967-08-21,51.0,255001.0,1
By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,By The Time I Get To Phoenix (Remastered),1967,49.0,164200.0,1
Chet Atkins Picks The Best,Chet Atkins,,,,,1
"Up, Up and Away",The 5th Dimension,"Up, Up And Away",1967,49.0,163346.0,1
"Up, Up And Away",Nancy Sinatra,Movin' With Nancy,1996-01-01,7.0,146560.0,1
Mission Impossible,Nancy & Phil Tobias,Pan Pipes Feelings,2011-02-11,0.0,249093.0,1
cabaret,Karrol Nano,CAPETA,2022-10-21,0.0,218484.0,1
Revenge,Bill Cosby,,,,,1
Bobbie Gentry,nan,,,,,1
"Mercy, Mercy, Mercy",Nancy Wilson,Just For Now,1967-01-01,7.0,207648.0,1
Blue Pepper (Far East of the Blues),Duke Ellington,Far East Suite,1967,30.0,182120.0,1
"Up, Up and Away",The 5th Dimension,"Up, Up And Away",1967,49.0,163346.0,1
Sgt. Pepper's Lonely Hearts Club Band,nan,,,,,1
Ode To Billie Joe,Bobbie Gentry,Ode To Billie Joe,1967-08-21,51.0,255001.0,1
By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,By The Time I Get To Phoenix (Remastered),1967,49.0,164200.0,1
"Up, Up and Away",The 5th Dimension,"Up, Up And Away",1967,49.0,163346.0,1
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,1967-03-10,71.0,147600.0,1
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,1967-03-10,71.0,147600.0,1
Dead End Street,Lou Rawls,Legendary Lou Rawls,1992-01-01,27.0,240640.0,1
Soulimiotissa - Syrtos,Nantia Karagianni,"Meraki, To Hroma Tis Kardias",2008-05-08,0.0,162893.0,1
How Great Thou Art,Elvis Presley,How Great Thou Art,1967-02-01,49.0,181293.0,1
More Grand Old Gospel,Porter Wagoner,,,,,1
Gentle On My Mind,John Hartford,Earthwords & Music,1967,32.0,182840.0,1
