Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Tears in Heaven - Acoustic Live,Eric Clapton,Unplugged (Deluxe Edition) (Live),1992-08-25,66.0,280000.0,1
Unplugged,Eric Clapton,,,,,1
Tears in Heaven,Nando Real,Tears in Heaven,2022-06-10,0.0,233351.0,1
Arrested Development,nan,,,,,1
Constant Craving,k.d. lang,Recollection,2010,52.0,277240.0,1
Tears in Heaven - Acoustic Live,Eric Clapton,Unplugged (Deluxe Edition) (Live),1992-08-25,66.0,280000.0,1
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",Céline Dion,Celine Dion,1992-03-30,62.0,249240.0,1
Perfectly Frank,Tony Bennett,,,,,1
"Main Theme (From: "" Beauty and the Beast "" )",Richard Kaufman,Symphonic & Hollywood,1991-07-01,0.0,207866.0,1
Ain't It Heavy,Melissa Etheridge,,,,,1
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,1999-10-12,26.0,260440.0,1
Achtung Baby,U2,,,,,1
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,71.0,282906.0,1
Wish,Nine Inch Nails,Broken,1992-09-22,52.0,226733.0,1
Little Wing,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),1984,57.0,408480.0,1
Layla,Nando Real,Layla,2022-01-30,0.0,292179.0,1
Bone Machine,Tom Waits,,,,,1
You Can Make the Story Right,Chaka Khan,The Woman I Am,1992-04-10,14.0,392440.0,1
Heaven and Earth,Al Jarreau,Heaven and Earth,1992,15.0,267666.0,1
End Of The Road,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),1991-04-30,68.0,351466.0,1
The Doo-Bop Song,Miles Davis,Doo-Bop,1992-06-26,39.0,297440.0,1
End Of The Road,Nanette Farwell,End Of The Road,2023-01-30,9.0,117898.0,1
Baby Got Back,Sir Mix-A-Lot,Mack Daddy,1992-01-01,66.0,262826.0,1
Tennessee,Arrested Development,"3 Years, 5 Months And 2 Days In The Life Of...",1992-03-24,49.0,272706.0,1
Shepherd Moons,Enya,Shepherd Moons,1991-11-15,46.0,224933.0,1
Secret Story,Pat Metheny,,,,,1
'Round Midnight - Live,Bobby McFerrin,Play,1992-01-01,11.0,479960.0,1
Lush Life - Remastered,Nancy Wilson,Lush Life,1995-01-01,10.0,207906.0,1
Sidney In Da Haus,Branford Marsalis,I Heard You Twice The First Time,1992-08-27,3.0,392533.0,1
The Turning Point,nan,,,,,1
I Feel Lucky,Mary Chapin Carpenter,Come On Come On,1992-06-20,46.0,211226.0,1
I Still Believe In You,Vince Gill,I Still Believe In You,1992-01-01,47.0,239520.0,1
Emmylou Harris & The Nash Ramblers At The Ryman,Emmylou Harris,,,,,1
The Whiskey Ain't Workin' (feat. Marty Stuart),Travis Tritt,It's All About to Change,1991,50.0,159880.0,1
Sneakin' Around,Chet Atkins,The Essential Chet Atkins - The Columbia Years,1983,19.0,265373.0,1
Every Time You Say Goodbye,Alison Krauss & Union Station,Every Time You Say Goodbye,1992-02-14,31.0,198000.0,1
I Still Believe In You,nan,,,,,1
Dance - Unseen Power Album Version,Petra,The Ultimate Collection,2006-01-01,15.0,222306.0,1
The Great Adventure,Steven Curtis Chapman,The Great Adventure,1992-01-01,38.0,277160.0,1
Sometimes Miracles Hide,Bruce Carroll,Sometimes Miracles Hide,1991-11-12,3.0,306693.0,1
He's Working It Out for You,Shirley Caesar,He's Working It Out for You,1991-01-01,30.0,331493.0,1
Handel's Messiah - A Soulful Celebration,nan,,,,,1
Edwin Hawkins Music & Arts Seminar Mass Choir - Recorded Live In Los Angeles,nan,,,,,1
