Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Rosanna,TOTO,Toto IV,1982-04-08,69.0,331200.0,1
Toto IV,Toto,,,,,1
Always on My Mind (Acoustic),Nané,Always on My Mind (Acoustic),2022-03-02,45.0,214820.0,1
Men At Work,nan,,,,,1
You Should Hear How She Talks About You,Melissa Manchester,Hey Ricky,1982,38.0,256386.0,1
Truly,Lionel Richie,Lionel Richie,1982,58.0,200506.0,1
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,The Anthology,1999-08-17,67.0,232666.0,1
Chariots Of Fire Theme (Dance Version),Ernie Watts,,,,,1
Shadows Of The Night,Pat Benatar,Get Nervous,1982-01-01,55.0,261560.0,1
Hurts So Good,John Mellencamp,American Fool,1982,68.0,218960.0,1
Eye of the Tiger,Survivor,Rocky IV,1985,74.0,245640.0,1
D.N.A.,nan,,,,,1
And I Am Telling You I'm Not Going - Original Broadway Cast/1982,Jennifer Holliday,Dreamgirls: Original Broadway Cast Album (25th Anniversary Special Edition),2006-01-01,42.0,244000.0,1
Sexual Healing,Marvin Gaye,Midnight Love,1982-10-01,68.0,238600.0,1
I Wanna Be With You,Nancy Simmonds,Dark Stars,2012-10-09,0.0,187500.0,1
Let It Whip,Dazz Band,Keep It Live (Expanded Edition),1982-01-01,53.0,281280.0,1
Sexual Healing (Instrumental Version),Marvin Gaye,,,,,1
Turn Your Love Around,nan,,,,,1
Offramp,Pat Metheny Group,Offramp,1982-05-03,20.0,355840.0,1
Break It To Me Gently,Juice Newton,Quiet Lies,1981-01-01,34.0,244040.0,1
Always On My Mind,Willie Nelson,Always On My Mind,1982-02-01,61.0,212666.0,1
Mountain Music,Alabama,The Essential Alabama 3.0,1980,57.0,217986.0,1
Alabama Jubilee,Roy Clark,,,,,1
Always on My Mind (Acoustic),Nané,Always on My Mind (Acoustic),2022-03-02,45.0,214820.0,1
Age To Age,Amy Grant,,,,,1
I'm Following You,Blackwood Brothers,,,,,1
Higher Plane,Al Green,Higher Plane,1981,10.0,213693.0,1
Precious Lord,Al Green,Precious Lord,1982,19.0,192706.0,1
He Grew The Trees,Barbara Mandrell,He Set My Life To Music,1982-01-01,11.0,233240.0,1
I Feel Alright Again,"Clarence ""Gatemouth"" Brown",Alright Again!,1981-01-01,0.0,149093.0,1
Queen Ida & The Bon Temps Zydeco Band On Tour,nan,,,,,1
Machito & His Salsa Big Band '82,Machito,,,,,1
In Harmony 2,nan,,,,,1
Live On The Sunset Strip,Richard Pryor,,,,,1
Raiders Of The Lost Ark - The Movie On Record,nan,,,,,1
Flying - Theme From E.T. The Extra-Terrestrial,nan,,,,,1
E.T. The Extra-Terrestrial,nan,,,,,1
Dreamgirls,nan,,,,,1
Olivia Physical,Olivia Newton-John,,,,,1
Gershwin Live!,Sarah Vaughan,,,,,1
An Evening With George Shearing & Mel Tormé,Mel Tormé,,,,,1
Route 66,Nancy Sinatra,California Girl,2002,6.0,188933.0,1
We Want Miles,nan,,,,,1
One More Day,Nana Ou-Yang,Live Today,2022-09-05,20.0,267360.0,1
Warm Breeze - Instrumental,Count Basie Orchestra,Warm Breeze,1981-01-01,6.0,405106.0,1
Gentle Flying,Nano Sounds,Nano Music,2022-09-22,0.0,68644.0,1
Rosanna,nan,,,,,1
Rosanna,nan,,,,,1
Getting Closer,Peter Nanasi,Hunting the Light,2019-01-03,0.0,295286.0,1
Bunny Berigan - Giants Of Jazz,nan,,,,,1
"The Tommy Dorsey/Frank Sinatra Sessions - Vols. 1 ,2 & 3",nan,,,,,1
Toto IV,nan,,,,,1
Tototredici,Nanà,Carnevale di Sciacca 1993,2021-09-05,0.0,182044.0,1
Bach: The Goldberg Variations,nan,,,,,1
Mahler: Sym. No. 7 In E Min. (Song Of The Night),nan,,,,,1
Wagner: Der Ring Des Nibelungen,nan,,,,,1
Berlioz: La Damnation De Faust,nan,,,,,1
"Brahms: The Sonatas For Clarinet & Piano, Op. 120",nan,,,,,1
Elgar: Violin Concerto In B Minor,nan,,,,,1
Bach: The Goldberg Variations,nan,,,,,1
Verdi: Arias (Leontyne Price Sings Verdi),nan,,,,,1
Mahler: Symphony No. 7 In E Minor (Song Of The Night),nan,,,,,1
Robert Woods,nan,,,,,1
Steppin' Out - Single Version,Joe Jackson,Totally '80s For Kids,2010-01-01,9.0,226346.0,0
Ebony And Ivory - 2022 Remaster,Paul McCartney,The 7” Singles,2022-12-02,23.0,225746.0,0
Chariots Of Fire,Vangelis,20 #1's: One Hit Wonders,2016-11-18,38.0,202805.0,0
