Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
24K Magic,Bruno Mars,24K Magic,2016-11-17,76.0,225983.0,1
24K Magic,Bruno Mars,24K Magic,2016-11-17,76.0,225983.0,1
That's What I Like,nan,,,,,1
Alessia Cara,nan,,,,,1
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,83.0,233712.0,1
Feel It Still,Portugal. The Man,Woodstock,2017-06-16,73.0,163253.0,1
Tony Bennett Celebrates 90,nan,,,,,1
÷ (Divide),Ed Sheeran,,,,,1
tonite,LCD Soundsystem,american dream,2017-09-01,33.0,347346.0,1
3-D The Catalogue,Kraftwerk,,,,,1
Prototype,Jeff Lorber Fusion,Prototype,2017-03-24,5.0,322865.0,1
You Want It Darker,Leonard Cohen,You Want It Darker,2016-10-21,58.0,284373.0,1
Sultan's Curse,Mastodon,Emperor of Sand,2017-03-31,42.0,249533.0,1
Run for Your Life,Nancy Sinatra,Boots,2021-09-17,25.0,164560.0,1
Thinking of a Place,The War On Drugs,A Deeper Understanding,2017-08-25,55.0,670666.0,1
Sleep Well Beast,The National,Sleep Well Beast,2017-09-08,33.0,393186.0,1
That's What I Like,Bruno Mars,24K Magic,2016-11-17,81.0,206693.0,1
Redbone,Childish Gambino,"""Awaken, My Love!""",2016-12-02,81.0,326933.0,1
That's What I Like,nan,,,,,1
Starboy,The Weeknd,Starboy,2016-11-25,88.0,230453.0,1
24K Magic,Bruno Mars,24K Magic,2016-11-17,76.0,225983.0,1
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,81.0,177000.0,1
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2017-04-14,72.0,227360.0,1
HUMBLE,Nando,HUMBLE,2020-07-03,0.0,215424.0,1
DAMN.,Kendrick Lamar,,,,,1
Either Way,Chris Stapleton,From A Room: Volume 1,2017-05-05,58.0,248053.0,1
Better Man,Little Big Town,The Breaker,2017-02-24,61.0,263120.0,1
Broken Halos,nan,,,,,1
From A Room: Volume 1,Chris Stapleton,,,,,1
Dancing on Water,Peter Kater,Dancing on Water,2021-01-18,17.0,266393.0,1
Miles Beyond,nan,,,,,1
Dreams And Daggers,Cécile McLorin Salvant,,,,,1
Rebirth,Billy Childs,Rebirth,2017-03-24,7.0,458213.0,1
Bringin' It,Christian McBride Big Band,,,,,1
Jazz Tango,Pablo Ziegler Trio,,,,,1
Never Have To Be Alone,nan,,,,,1
What A Beautiful Name,nan,,,,,1
Let Them Fall in Love,CeCe Winans,Let Them Fall in Love,2017-02-03,18.0,252576.0,1
Chain Breaker,Zach Williams,Chain Breaker (Deluxe Edition),2017-09-15,60.0,196466.0,1
Sing It Now,Reba McEntire,Sing It Now: Songs Of Faith & Hope,2017-02-03,17.0,242160.0,1
Perro Fiel/El Perdón Medley (feat. Nicky Jam) - El Dorado World Tour Live,Shakira,Shakira In Concert: El Dorado World Tour,2019-11-13,42.0,275653.0,1
Residente,Residente,,,,,1
Arrieros Somos,Aida Cuevas,Arrieros Somos - Sesiones Acusticas,2017-05-12,7.0,236000.0,1
Salsa Big Band,nan,,,,,1
Killer Diller Blues - Music from The American Epic Sessions,Alabama Shakes,Killer Diller Blues (Music from The American Epic Sessions),2017-05-19,41.0,132133.0,1
If We Were Vampires,nan,,,,,1
Hope the High Road,Jason Isbell and the 400 Unit,The Nashville Sound,2017-06-16,41.0,183164.0,1
Laws Of Gravity,The Infamous Stringdusters,,,,,1
All The Rage - In Concert Volume One [Live],Rhonda Vincent,,,,,1
Blue And Lonesome,The Rolling Stones,Blue & Lonesome,2016-12-02,32.0,187306.0,1
TajMo,Taj Mahal,,,,,1
Mental Illness,Aimee Mann,,,,,1
Kalenda,Lost Bayou Ramblers,Kalenda,2017-09-29,4.0,377506.0,1
Stony Hill,"Damian ""Jr. Gong"" Marley",,,,,1
Shaka Zulu Revisited: 30th Anniversary Celebration,Ladysmith Black Mambazo,,,,,1
Feel What U Feel (feat. Craig Robionson),Lisa Loeb,Feel What U Feel,2016-10-07,4.0,243919.0,1
The Princess Diarist,Carrie Fisher,,,,,1
The Age Of Spin & Deep In The Heart Of Texas,Dave Chappelle,,,,,1
Dear Evan Hansen,nan,,,,,1
Lands of Dreams and Total Relax pt. 4,Nano Sounds,1 Dream Comes By,2022-01-27,24.0,64000.0,1
Lands of Dreams and Total Relax pt. 4,Nano Sounds,1 Dream Comes By,2022-01-27,24.0,64000.0,1
How Far I'll Go (From Vaiana),Lin-Manuel Miranda,Celebration for Band - New Music for Concert Band - Demo Tracks 2017-2018,2017-06-30,8.0,176677.0,1
Three Revolutions,nan,,,,,1
Escapades For Alto Saxophone And Orchestra From Catch Me If You Can,nan,,,,,1
Putin,nan,,,,,1
El Orisha De La Rosa,nan,,,,,1
Pure Comedy (Deluxe Edition),nan,,,,,1
The Voyager Golden Record: 40th Anniversary Edition,nan,,,,,1
Live At The Whisky A Go Go: The Complete Recordings,nan,,,,,1
Leonard Bernstein - The Composer,nan,,,,,1
24K Magic,nan,,,,,1
Greg Kurstin,nan,,,,,1
You Move (Latroit Remix),nan,,,,,1
Early Americans,nan,,,,,1
Shostakovich: Symphony No. 5; Barber: Adagio,nan,,,,,1
David Frost,nan,,,,,1
Shostakovich: Symphony No. 5; Barber: Adagio,nan,,,,,1
Berg: Wozzeck,nan,,,,,1
Bryars: The Fifth Century,nan,,,,,1
Death & The Maiden,nan,,,,,1
Transcendental,nan,,,,,1
Crazy Love,Nancy Martinez,Not Just The Girl Next Door,1986,2.0,305466.0,1
"Higdon: All Things Majestic, Viola Concerto & Oboe Concerto",nan,,,,,1
Viola Concerto,Nancy Van de Vate,Music from 6 Continents (1993 Series),2011-11-01,0.0,969506.0,1
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,81.0,177000.0,1
The Defiant Ones,nan,,,,,1
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,81.0,177000.0,0
Redbone,Childish Gambino,"""Awaken, My Love!""",2016-12-02,81.0,326933.0,0
The Story of O.J.,JAY-Z,4:44,2017-07-07,60.0,231760.0,0
Despacito,Luis Fonsi,VIDA,2019-02-01,76.0,229360.0,0
DAMN.,Kendrick Lamar,,,,,0
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",2016-12-02,80.0,379226.0,0
4:44,JAY-Z,4:44,2017-07-07,68.0,284493.0,0
Sober II (Melodrama),Lorde,Melodrama,2017-06-16,55.0,178639.0,0
44 - Stehen vor einem Rätsel - Teil 13,Hanni und Nanni,44/Hanni und Nanni stehen vor einem Rätsel,2014-06-06,15.0,88466.0,0
Issues,Nana Rogues,Issues,2020-02-06,12.0,201768.0,0
1-800-273-8255,nan,,,,,0
DJ DESPACITO X SAMPE BAWAH,Nanda Lia,DJ DESPACITO X SAMPE BAWAH,2022-11-03,7.0,353335.0,0
Julia Michaels,nan,,,,,0
Khalid,nan,,,,,0
Lil Uzi Vert,nan,,,,,0
szakira,NANGA,CISZA W BLOKU,2020-11-06,11.0,322106.0,0
Love So Soft,Kelly Clarkson,Meaning of Life,2017-10-27,52.0,172426.0,0
Praying,Kesha,Rainbow,2017-08-11,66.0,230266.0,0
Million Reasons,Lady Gaga,Mental Health Awareness 2023,2023-02-22,1.0,205280.0,0
What About Us,P!nk,Beautiful Trauma,2017-10-13,72.0,269600.0,0
Thunder,Imagine Dragons,Evolve,2017-06-23,81.0,187146.0,0
Despacito,Luis Fonsi,VIDA,2019-02-01,76.0,229360.0,0
Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017-04-07,81.0,247160.0,0
Stay,Zedd,Stay,2017-02-23,72.0,210090.0,0
Triplicate,Bob Dylan,,,,,0
Nobody But Me (Deluxe Version),Michael Bublé,,,,,0
Winter Wonderland,Sarah McLachlan,Wonderland,2016-10-21,22.0,170306.0,0
Almost Like Being In Love,Seth MacFarlane,In Full Swing,2017-09-15,24.0,168720.0,0
Lust For Life (with The Weeknd),Lana Del Rey,Lust For Life,2017-07-21,69.0,264066.0,0
Kaleidoscope EP,Coldplay,,,,,0
Evolve,Imagine Dragons,,,,,0
Rainbow,Kesha,Rainbow,2017-08-11,44.0,218640.0,0
Joanne,Lady Gaga,Joanne (Deluxe),2016-10-21,53.0,196906.0,0
Bambro Koyo Ganda,Bonobo,Migration,2017-01-13,49.0,302428.0,0
Cola,CamelPhat,Cola,2017-10-27,53.0,223869.0,0
Andromeda (feat. DRAM),Gorillaz,Humanz (Deluxe),2017-04-28,62.0,197546.0,0
Line Of Sight (feat. WYNNE & Mansionair),ODESZA,A Moment Apart,2017-09-08,58.0,237140.0,0
Migration,Bonobo,Migration,2017-01-13,42.0,327400.0,0
Mura Masa,Mura Masa,,,,,0
A Moment Apart,ODESZA,A Moment Apart,2017-09-08,62.0,234244.0,0
What Now,Sylvan Esso,,,,,0
Spirit,Alex Han,Spirit,2017-05-19,4.0,507483.0,0
Bad Hombres Y Mujeres,Antonio Sánchez,Lines In The Sand,2018-11-30,10.0,523748.0,0
Mount Royal,Julian Lage,,,,,0
What If,The Jerry Douglas Band,What If,2017-08-18,3.0,405773.0,0
The Promise,Chris Cornell,The Promise,2017-03-03,37.0,260836.0,0
Run,Foo Fighters,Concrete and Gold,2017-09-15,55.0,323373.0,0
No Good,KALEO,A/B,2016-06-10,61.0,234240.0,0
Go To War,NOTHING MORE,The Stories We Tell Ourselves,2017-09-15,56.0,245195.0,0
Black Hoodie,Body Count,Bloodlust,2017-03-31,40.0,209746.0,0
Invisible Enemy,August Burns Red,Phantom Anthem,2017-10-06,42.0,277693.0,0
Forever,Code Orange,Forever,2017-01-13,42.0,187946.0,0
Clockworks,Meshuggah,The Violent Sleep of Reason,2016-10-07,40.0,435040.0,0
The Overland Stage,Nancy Louise Freeman,Logick,1997-01-01,0.0,342560.0,0
Blood In The Cut,nan,,,,,0
"Atlas, Rise!",nan,,,,,0
I've Got My Love to Keep Me Warm,Nanette Natal,Is Love Enough?,2001,0.0,238080.0,0
Emperor Of Sand,Mastodon,,,,,0
"Hardwired - Live at U.S. Bank Stadium, Minneapolis, MN - August 20th, 2016",Metallica,Hardwired…To Self-Destruct (Deluxe),2016-11-18,20.0,210080.0,0
The Great Divorce,NOTHING MORE,The Stories We Tell Ourselves,2017-09-15,30.0,279093.0,0
Villains Of Circumstance,Queens of the Stone Age,Villains,2017-08-25,45.0,369338.0,0
Everything Now,Arcade Fire,Everything Now,2017-07-28,58.0,303013.0,0
Humanz (Gorillaz 20 Mix),Gorillaz,Humanz (Gorillaz 20 Mix),2021-04-27,26.0,215196.0,0
american dream,LCD Soundsystem,american dream,2017-09-01,37.0,366786.0,0
Pure Comedy,Father John Misty,Pure Comedy,2017-04-07,36.0,383800.0,0
The Weekend,SZA,Ctrl,2017-06-09,74.0,272186.0,0
High,Ledisi,Let Love Rule,2017-09-22,34.0,253000.0,0
Distraction,Kehlani,SweetSexySavage (Deluxe),2017-01-27,61.0,235693.0,0
Get You (feat. Kali Uchis),Daniel Caesar,Freudian,2017-08-25,77.0,278179.0,0
What I'm Feelin' (feat. The Hamiltones),Anthony Hamilton,What I'm Feelin',2016-03-25,28.0,239786.0,0
All The Way,Ledisi,Let Love Rule,2017-09-22,32.0,302413.0,0
Still,Mali Music,The Transition of Mali,2017-06-02,35.0,290240.0,0
Laugh And Move On,nan,,,,,0
First Began,nan,,,,,0
Location,Nando EL H,Chapter One,2021-08-10,0.0,188000.0,0
Redbone,nan,,,,,0
Supermodel,nan,,,,,0
Free,6LACK,FREE 6LACK,2016-11-18,55.0,263013.0,0
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",2016-12-02,80.0,379226.0,0
American Teen,Khalid,American Teen,2017-04-27,63.0,250746.0,0
Ctrl Z,Sandra Szabo,When No One Is Looking,2016-06-10,0.0,212750.0,0
Freudian,Daniel Caesar,Freudian,2017-08-25,53.0,602296.0,0
Let Love Rule,Ledisi,Let Love Rule,2017-09-22,20.0,240173.0,0
Gumbo,PJ Morton,,,,,0
Feel The Real (feat. Marsha Ambrosius),Musiq Soulchild,Feel The Real,2017-09-15,18.0,334196.0,0
Bodak Yellow,Cardi B,Invasion of Privacy,2018-04-06,69.0,223712.0,0
Bounce Back,Big Sean,I Decided.,2017-02-03,66.0,222360.0,0
4:44,JAY-Z,4:44,2017-07-07,68.0,284493.0,0
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,2017-01-27,71.0,343150.0,0
PRBLMS,6LACK,FREE 6LACK,2016-11-18,68.0,246773.0,0
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,At What Cost,2017-03-24,73.0,176702.0,0
Family Feud,JAY-Z,4:44,2017-07-07,51.0,251413.0,0
Love Galore (feat. Travis Scott),SZA,Ctrl,2017-06-09,74.0,275080.0,0
Chase Me,nan,,,,,0
Bodak Yellow,nan,,,,,0
Sassy,nan,,,,,0
The Story Of O.J.,nan,,,,,0
4:44,JAY-Z,4:44,2017-07-07,68.0,284493.0,0
Culture (feat. DJ Khaled),Migos,Culture,2017-01-27,44.0,153557.0,0
Laila’s Wisdom,Rapsody,Laila’s Wisdom,2017-09-22,31.0,194720.0,0
Flower Boy,nan,,,,,0
Body Like A Back Road,Sam Hunt,Body Like A Back Road,2017-02-01,67.0,165386.0,0
Losing You,Alison Krauss,Windy City (Deluxe),2017-02-17,20.0,172813.0,0
Tin Man,Miranda Lambert,The Weight of These Wings,2016-11-18,55.0,259279.0,0
I Could Use a Love Song,Maren Morris,HERO (Deluxe Edition),2017-03-17,62.0,196421.0,0
It Ain't My Fault,Brothers Osborne,Pawn Shop,2016-01-15,61.0,216800.0,0
My Old Man,Zac Brown Band,Welcome Home,2017-05-12,51.0,227222.0,0
You Look Good,Lady A,Heart Break,2017-06-09,51.0,181000.0,0
Drinkin' Problem,Midland,On The Rocks,2017-09-22,67.0,220800.0,0
Better Man,Jacob Nance,From Then Until Here on Out,2021-10-02,0.0,241843.0,0
Body Like A Back Road,nan,,,,,0
Drinkin’ Problem,nan,,,,,0
YOU HAVE TOO MANY TINGLES Pt.3,Nanou ASMR,YOU HAVE TOO MANY TINGLES,2022-03-06,2.0,260161.0,0
Cosmic Hallelujah,Kenny Chesney,,,,,0
We Went To The Beach,Little Big Town,The Breaker,2017-02-24,29.0,186200.0,0
Heart Break,Lady A,Heart Break,2017-06-09,43.0,188293.0,0
Life Changes,Thomas Rhett,Life Changes,2017-09-08,59.0,190226.0,0
Reflection - Excerpt,Brian Eno,Reflection (Excerpt),2017-01-01,34.0,260834.0,0
SongVersation: Medicine,India.Arie,,,,,0
"Sacred Journey Of Ku-Kai, Volume 5",Kitaro,,,,,0
Spiral Revelation,Steve Roach,Spiral Revelation,2017-01-20,2.0,1189737.0,0
Can't Remember Why,nan,,,,,0
Dance Of Shiva,nan,,,,,0
Whisper Not - Live,Nancy Reed,Live at the Deer Head Inn,2021-04-05,0.0,352880.0,0
Ilimba,nan,,,,,0
Up Above My Head,Jazzmeia Horn,A Social Call,2017-05-12,19.0,216480.0,0
Bad Ass and Blind,Raul Midón,Bad Ass and Blind,2017-03-24,10.0,224469.0,0
Voice Of The Drum (Interlude),The Baylor Project,The Journey,2017,1.0,118143.0,0
Porter Plays Porter,Randy Porter Trio,,,,,0
"Uptown, Downtown",Bill Charlap Trio,"Uptown, Downtown",2017-08-04,33.0,360353.0,0
Project Freedom,Joey DeFrancesco,Project Freedom,2017-03-10,3.0,419976.0,0
Open Book,Fred Hersch,,,,,0
The Dreamer Is The Dream,Chris Potter,The Dreamer Is The Dream,2017-04-21,5.0,498586.0,0
MONK'estra Vol. 2,John Beasley,,,,,0
Jigsaw,Alan Ferber Big Band,Jigsaw,2017-09-22,1.0,599358.0,0
Homecoming,Vince Mendoza,Homecoming,2017-02-10,4.0,448320.0,0
Whispers On The Wind,Chuck Owen,,,,,0
Hybrido - From Rio To Wayne Shorter,Antonio Adolfo,,,,,0
Yo Siempre Oddara,Jane Bunnett,Spirits of Havana / Chamalongo - 25th Anniversary Deluxe,2016-06-24,8.0,358533.0,0
Outra Coisa - The Music Of Moacir Santos,Anat Cohen,,,,,0
Tipico,Miguel Zenón,Tipico,2017-02-10,14.0,527241.0,0
Too Hard Not To,nan,,,,,0
You Deserve It,nan,,,,,0
Better days,Nano Bebebe,Better days,2020-09-20,0.0,180845.0,0
For Once In My Life - Remastered/1994,Nancy Wilson,Welcome To My Love,1968-01-01,50.0,188240.0,0
"Bless the Lord, Oh My Soul",Nancy Balyeat,Come to Me and Believe,2017-01-01,0.0,448013.0,0
White Noise Cleans Your Aura,The Noise Nannies,Rest Easy with White Noise,2023-02-24,0.0,93816.0,0
Even If Life Is Contrary,Nancy Isbell,A Passionate Kiss That Captivates The Heart,2022-10-10,0.0,170244.0,0
Hills And Valleys,nan,,,,,0
Crossover (Live),Travis Greene,Crossover: Live From Music City,2017-08-18,23.0,314440.0,0
Bigger Than Me,Le'Andria,,,,,0
Close (Radio Edit),Marvin Sapp,Close (Radio Edit),2017-06-09,39.0,265173.0,0
Sunday Song,Anita Wilson,,,,,0
Rise,Danny Gokey,Rise,2017-01-13,43.0,217799.0,0
Echoes One,Matt Maher,Echoes (Deluxe Edition),2017-09-29,16.0,89333.0,0
Lifer,MercyMe,Lifer,2017-02-17,40.0,201093.0,0
Hills and Valleys (The Valleys Version),Tauren Wells,Hills and Valleys (Deluxe Edition),2017-06-23,57.0,249242.0,0
Hope For All Nations,nan,,,,,0
I Believe in the Resurrection,Joseph Habedank,Resurrection,2017-03-10,11.0,224813.0,0
The Best Of The Collingsworth Family - Volume 1,The Collingsworth Family,,,,,0
Give Me Jesus,Larry Cordle,Give Me Jesus,2017-03-24,9.0,159086.0,0
Todas las Cabezas Están Locas,Alex Cuba,Lo Único Constante,2017-04-07,11.0,210040.0,0
Mis Planes Son Amarte,Juanes,Mis Planes Son Amarte,2017-05-12,49.0,210520.0,0
Amar Y Vivir - En Vivo,La Santa Cecilia,"Amar Y Vivir (En Vivo Desde La Ciudad De México, 2017)",2017-04-28,42.0,182320.0,0
Musas (Un Homenaje Al Folclore Latinoamericano En Manos De Los Macorinos),Natalia Lafourcade,,,,,0
Ayo,Bomba Estéreo,Ayo,2017-08-11,31.0,173202.0,0
Pa' Fuera,C4 Trío,,,,,0
Salvavidas de hielo (feat. Natalia Lafourcade),Jorge Drexler,Salvavidas de hielo,2017-09-22,43.0,209080.0,0
Espérame (feat. Elastic Bond),Los Amigos Invisibles,El Paradise,2017-02-24,47.0,255240.0,0
Ni Diablo Ni Santo,Julión Álvarez y su Norteño Banda,Ni Diablo Ni Santo,2017-05-26,68.0,155600.0,0
Ayer Y Hoy,nan,,,,,0
Momentos,Alex Campos,,,,,0
Zapateando En El Norte,nan,,,,,0
Albita,Albita,,,,,0
Art Of The Arrangement,Doug Beavers,,,,,0
Gente Valiente,Silvestre Dangond,,,,,0
Indestructible,Diego El Cigala,Indestructible,2016-10-28,27.0,256266.0,0
Let My Mother Live,The Blind Boys Of Alabama,Almost Home,2020-08-28,7.0,197626.0,0
Arkansas Farmboy,Glen Campbell,Adiós,2017-06-09,13.0,211413.0,0
Steer Your Way,Leonard Cohen,You Want It Darker,2016-10-21,42.0,263480.0,0
I Never Cared For You,Alison Krauss,Windy City (Deluxe),2017-02-17,14.0,165773.0,0
Cumberland Gap,nan,,,,,0
I Wish You Love,Nancy Kelly,"Well, Alright!",2009-03-31,0.0,306746.0,0
It Ain't Over Yet,nan,,,,,0
My Only True Friend,nan,,,,,0
Southern Blood,Gregg Allman,,,,,0
Shine On Rainy Day,Brent Cobb,Shine On Rainy Day,2016-10-07,31.0,263306.0,0
Beast Epic,nan,,,,,0
Brand New Day,The Mavericks,Brand New Day,2017-03-31,12.0,208621.0,0
Fiddler's Dream,Michael Cleveland,Fiddler's Dream,2016-10-07,22.0,217946.0,0
Original,Bobby Osborne,,,,,0
Universal Favorite,Noam Pikelny,,,,,0
Migration Blues,Eric Bibb,Migration Blues,2017-03-31,9.0,188333.0,0
Elvin Bishop's Big Fun Trio,Elvin Bishop's Big Fun Trio,,,,,0
Roll And Tumble,R.L. Boyce,,,,,0
Sonny & Brownie's Last Train,Guy Davis,Sonny & Brownie's Last Train,2017-03-24,3.0,244105.0,0
Robert Cray & Hi Rhythm,Robert Cray,,,,,0
Recorded Live In Lafayette,Sonny Landreth,,,,,0
Got Soul,Robert Randolph & The Family Band,Got Soul,2017-02-17,30.0,212293.0,0
Bird On The Wire - Live,Tedeschi Trucks Band,Live From The Fox Oakland,2017-03-17,36.0,338893.0,0
Semper Femina,Laura Marling,,,,,0
The Queen of Hearts,Offa Rex,The Queen of Hearts,2017-07-14,25.0,235893.0,0
You Don't Own Me Anymore,The Secret Sisters,You Don't Own Me Anymore,2017-06-09,31.0,231013.0,0
Blackness of the Night,Yusuf / Cat Stevens,The Laughing Apple,2017-09-15,41.0,181040.0,0
Top Of The Mountain,Dwayne Dopsie,,,,,0
Ho'okena 3.0,nan,,,,,0
"Miyo Kekisepa, Make A Stand [Live]",Northern Cree,,,,,0
Pua Kiele,Josh Tatofi,Pua Kiele,2016-11-30,38.0,235448.0,0
Chronology,Chronixx,,,,,0
Lost In Paradise,Common Kings,Lost In Paradise,2017-02-03,43.0,195366.0,0
Wash House Ting,J Boog,,,,,0
Avrakedabra,Morgan Heritage,,,,,0
Memoria De Los Sentidos,Vicente Amigo,,,,,0
Para mí,Buika,Para mí EP,2017-05-12,6.0,256222.0,0
Rosa dos ventos,Anat Cohen,Rosa Dos Ventos,2017-04-28,3.0,337770.0,0
Elwan,Tinariwen,,,,,0
Brighter Side,Gustafer Yellowgold,Brighter Side,2017-09-08,2.0,159158.0,0
Lemonade,Justin Roberts,Lemonade,2016-10-14,19.0,231760.0,0
Rise,Alphabet Rockers,Rise Shine #Woke,2017-09-01,1.0,233384.0,0
Songs Of Peace & Love For Kids & Parents Around The World,Ladysmith Black Mambazo,,,,,0
Astrophysics For People In A Hurry,Neil deGrasse Tyson,,,,,0
Born to Run,Bruce Springsteen,Born To Run,1975-08-25,69.0,269920.0,0
Confessions Of A Serial Songwriter,Shelly Peiken,,,,,0
Our Revolution: A Future to Believe In (Bernie Sanders),Bernie Sanders,,,,,0
Cinco,Jim Gaffigan,,,,,0
Jerry Before Seinfeld,Jerry Seinfeld,,,,,0
A Speck Of Dust,Sarah Silverman,,,,,0
Push It On Me - From “What Now?”,Kevin Hart,Kevin Hart: What Now? (The Mixtape Presents Chocolate Droppa) [Original Motion Picture Soundtrack],2016-10-14,36.0,232806.0,0
Come From Away,nan,,,,,0
"Hello, Dolly!",Nancy Wilson,From Broadway With Love,1966-01-01,1.0,144653.0,0
Baby Driver,nan,,,,,0
Guardians Of The Galaxy Vol. 2: Awesome Mix Vol. 2,nan,,,,,0
Hidden Figures: The Album,nan,,,,,0
Moana: The Songs,nan,,,,,0
Arrival,Nani Kha,Archive,2022-10-10,0.0,180800.0,0
Dunkirk,nan,,,,,0
Hidden Figures,nan,,,,,0
Game Of Thrones: Season 7,nan,,,,,0
Never Give Up,Sia,"Never Give Up (From ""Lion"" Soundtrack)",2016-11-18,62.0,221986.0,0
City Of Stars (Humming),Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),2016-12-09,53.0,162973.0,0
I Don't Wanna Live Forever (Fifty Shades Darker),Jack Antonoff,,,,,0
Stand Up For Something,Common,,,,,0
Alkaline,nan,,,,,0
Choros #3,nan,,,,,0
Home Free (For Peter Joe),nan,,,,,0
Warped Cowboy,nan,,,,,0
"All Hat, No Saddle",nan,,,,,0
Home Free (For Peter Joe),nan,,,,,0
Ugly Beauty/Pannonica,nan,,,,,0
White Christmas,Nancy Wilson,A Nancy Wilson Christmas,2001-09-18,5.0,227080.0,0
Medley: Audition / Someone In The Crowd / City of Stars / Another Day of Sun - Marimba version,Mario Nandayapa Quartet,Medley: Audition / Someone In The Crowd / City of Stars / Another Day of Sun (Marimba version),2017-03-30,0.0,405930.0,0
Every Time We Say Goodbye,nan,,,,,0
I Like Myself,nan,,,,,0
I Loves You Porgy/There's A Boat That's Leavin' Soon For New York,nan,,,,,0
Mura Masa,nan,,,,,0
Sleep Well Beast,nan,,,,,0
Solid State,Edoardo Nanni,Ice Cube,2017-06-16,0.0,393750.0,0
Bobo Yeye: Belle Epoque In Upper Volta,nan,,,,,0
Lovely Creatures: The Best Of Nick Cave And The Bad Seeds (1984 - 2014),nan,,,,,0
May 1977: Get Shown The Light,nan,,,,,0
Warfaring Strangers: Acid Nightmares,nan,,,,,0
Washington Phillips And His Manzarene Dreams,nan,,,,,0
Arthur Q. Smith: The Trouble With The Truth,nan,,,,,0
Big Bend Killing: The Appalachian Ballad Tradition,nan,,,,,0
The Complete Piano Works Of Scott Joplin,nan,,,,,0
"Edouard-Léon Scott De Martinville, Inventor Of Sound Recording: A Bicentennial Tribute",nan,,,,,0
Bobo Yeye: Belle Epoque In Upper Volta,nan,,,,,0
The Goldberg Variations - The Complete Unreleased Recording Sessions June 1955,nan,,,,,0
Sweet As Broken Dates: Lost Somali Tapes From The Horn Of Africa,nan,,,,,0
Washington Phillips And His Manzarene Dreams,nan,,,,,0
Every Where Is Some Where,nan,,,,,0
Is This The Life We Really Want?,nan,,,,,0
Natural Conclusion,nan,,,,,0
No Shape,nan,,,,,0
Calvin Harris,nan,,,,,0
Blake Mills,nan,,,,,0
String Quartet No. 1 in D Minor: III. Adagio,Nancy Dalberg,Dalberg: The String Quartets,2019-09-13,29.0,336160.0,0
The Stereotypes,nan,,,,,0
Can't Let You Go (Louie Vega Roots Mix),nan,,,,,0
Funk O' De Funk (SMLE Remix),nan,,,,,0
Undercover (Adventure Club Remix),nan,,,,,0
A Violent Noise (Four Tet Remix),nan,,,,,0
Kleiberg: Mass For Modern Man,nan,,,,,0
My Love Is Somewhere - Remastered,Nana Mouskouri,C'est jolie la mer (Remastered),2022-09-08,0.0,174254.0,0
3-D The Catalogue,nan,,,,,0
Tyberg: Masses,nan,,,,,0
"Schoenberg, Adam: American Symphony; Finding Rothko; Picture Studies",nan,,,,,0
Kleiberg: Mass For Modern Man,nan,,,,,0
