Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,80.0,391376.0,1
Rumours,Fleetwood Mac,,,,,1
You Light Up My Life,Nancy & Phil Tobias,Pan Pipes Feelings,2011-02-11,0.0,222480.0,1
Love Theme From A Star Is Born (Evergreen),nan,,,,,1
Debby Boone,nan,,,,,1
Nadia's Theme (The Young And The Restless),nan,,,,,1
Love Theme From A Star Is Born (Evergreen),nan,,,,,1
New Kid In Town,nan,,,,,1
Ajapuvarsha,Nanditha,Kanakattuna Raje,2017-10-04,0.0,243430.0,1
Simple Dreams,nan,,,,,1
Bing Crosby - A Legendary Performer,nan,,,,,1
Peter Asher,nan,,,,,1
Look to the Rainbow - Live 1977 Version,Al Jarreau,Look to the Rainbow - Live in Europe,1977,11.0,490253.0,1
"Symphony No. 8 in B Minor, D. 759, ""The Unfinished"": I. Allegro moderato",Anton Nanut,Classical Giants,2012-02-14,0.0,821666.0,1
The Phil Woods Six - Live From The Showboat,Phil Woods,,,,,1
Prime Time,Count Basie,Prime Time,1977-01-01,5.0,455666.0,1
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,A Star Is Born,1976-11,58.0,184800.0,1
Handy Man,James Taylor,JT,1977,56.0,196800.0,1
"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",Bee Gees,How Can You Mend A Broken Heart,2020-12-11,72.0,241093.0,1
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",John Williams,Star Wars: Attack of the Clones (Original Motion Picture Soundtrack),2002-04-23,54.0,333346.0,1
Don’t Leave Me This Way (Re-Recorded),Thelma Houston,'70s Divas & Beyond,2007-08-07,6.0,250880.0,1
Unmistakably Lou,Lou Rawls,,,,,1
Best of My Love,The Emotions,Rejoice,1977-06-10,67.0,220560.0,1
"""Q""",The Brothers Johnson,Right On Time,1977-01-01,30.0,205640.0,1
You Make Me Feel Like Dancing,nan,,,,,1
Sailin' On,Nancy LaMott,"Ms. Opal's Jam House: Singing Jazz, Vol. 5",2014-12-16,0.0,239026.0,1
Just A Little Talk With Jesus,nan,,,,,1
Wonderful!,Edwin Hawkins,,,,,1
James Cleveland Live At Carnegie Hall,James Cleveland,,,,,1
Home Where I Belong,B.J. Thomas,The Definitive Collection,2007-05-22,19.0,184986.0,1
Don't It Make My Brown Eyes Blue,Crystal Gayle,,,,,1
Lucille,Kenny Rogers,Kenny Rogers,1976-10-18,57.0,220866.0,1
Heaven's Just A Sin Away,nan,,,,,1
Country Instrumentalist Of The Year,"Hargus ""Pig"" Robbins",,,,,1
Don't It Make My Brown Eyes Blue,nan,,,,,1
Hard Again,Muddy Waters,,,,,1
Dawn's Light,Mongo Santamaria,Brazilian Sunset,1996-01-01,1.0,314040.0,1
Aren't You Glad You're You,nan,,,,,1
Let's Get Small,Steve Martin,,,,,1
The Belle Of Amherst,Julie Harris,,,,,1
Star Wars - Main Title,nan,,,,,1
Star Wars,Nana Carneiro da Cunha,Peixa,2016-07-02,0.0,146352.0,1
Annie,Basically Nancy,Basically Nancy,2022-03-04,6.0,213995.0,1
Concert Of The Century,nan,,,,,1
Mahler: Symphony No. 9 In D,nan,,,,,1
Gershwin: Porgy And Bess,nan,,,,,1
Verdi: Requiem,nan,,,,,1
Schoenberg: Quartets For Strings (Complete),nan,,,,,1
Vivaldi: The Four Seasons,nan,,,,,1
"Beethoven: Piano Sonata No. 18 In E Flat/Schumann: Fantasiestucke, Op. 12",nan,,,,,1
Bach: Arias,nan,,,,,1
Ravel's Boléro,Nando Espinosa,All Music Mix,2022-04-10,0.0,767250.0,1
You Light Up My Life (Single),Debby Boone,,,,,0
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,A Star Is Born,1976-11,58.0,184800.0,0
Don't It Make My Brown Eyes Blue (Single),Crystal Gayle,,,,,0
Blue Bayou (Single),Linda Ronstadt,,,,,0
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",John Williams,Star Wars: Attack of the Clones (Original Motion Picture Soundtrack),2002-04-23,54.0,333346.0,0
Sweet Baby James - 2019 Remaster,James Taylor,The Warner Bros. Albums: 1970-1976,2019-07-19,20.0,173733.0,0
Hotel California,The Eagles Tribute Band,World's Greatest Rock Anthems - the Only Rock Tributes Album You'll Ever Need! (Deluxe Version),2010-03-29,10.0,376546.0,0
Aja,Steely Dan,The Ultimate Headphone & Hi-Fi Album,2019-11-01,7.0,480466.0,0
Southern Nights,nan,,,,,0
Nobody Does It Better (Single),nan,,,,,0
Hotel California (Single),nan,,,,,0
Don't It Make My Brown Eyes Blue (Single),nan,,,,,0
Shaun Cassidy,nan,,,,,0
Stephen Bishop,nan,,,,,0
Andy Gibb,nan,,,,,0
Foreigner Without Flaws,Nancy Littlejohn,Foreigner Without Flaws,2022-03-17,6.0,209739.0,0
Scheherezade (Album),nan,,,,,0
Roots Mural Theme,nan,,,,,0
Musicmagic (Single),nan,,,,,0
Free As The Wind,nan,,,,,0
The Devil is A Liar,Nwaiiza Nande,Nwaiiza Nande Wanted Compliation,2022-06-30,0.0,342262.0,0
Nature Boy,Nancy Gilliland,Prelude To Romance - Live At The Little Fox,2005-01-01,0.0,226426.0,0
Calling Occupants Of Interplanetary Craft,nan,,,,,0
Besame Mucho,Nana Mouskouri,Un Bolero Por Favor,2002-01-01,17.0,263800.0,0
"Oh Lord, Come By Here",nan,,,,,0
Go Your Own Way,Nanna,Rocking Horse,1991-11-14,8.0,236933.0,0
"Baby, I'll Give It To You (Single)",nan,,,,,0
All You Do Is Dial (Single),nan,,,,,0
Simple Dreams (Album),nan,,,,,0
Rumours - Original Mix,Dustin Nantais,WMC 2015 Sampler,2015-04-06,0.0,421985.0,0
JT (Album),nan,,,,,0
Discovered Again! (Album),nan,,,,,0
Yardbirds Favorites (Album),nan,,,,,0
Wings Over America (Album),nan,,,,,0
Singin' (Album),nan,,,,,0
Love Notes (Album),nan,,,,,0
Hejira (Album),nan,,,,,0
Ginseng Woman,nan,,,,,0
Color As A Way Of Life (Album),nan,,,,,0
The Lester Young Story Vol. I (Album),nan,,,,,0
Stormy Blues (Billy Holiday) (Album),nan,,,,,0
Jefferson Airplane-Flight Log,nan,,,,,0
Guy Lombardo: A Legendary Performer (Album),nan,,,,,0
"Kenny Gamble, Leon Huff (producers)",nan,,,,,0
"Bee Gees (Barry Gibb, Maurice Gibb, Robin Gibb), Albhy Galuten & Karl Richardson (producers)",nan,,,,,0
Bill Szymczyk (producer),nan,,,,,0
Richard Perry (producer),nan,,,,,0
Kral Space (Album),Irene Kral,,,,,0
Helen Merrill - John Lewis (Album),Helen Merrill,,,,,0
Carmen McRae At The Great American Music Hall (Album),Carmen McRae,,,,,0
Amoroso (Album),João Gilberto,,,,,0
The Phil Woods Six-Live From The Showboat (Album),nan,,,,,0
Heavy Weather (Weather Report) (Album),nan,,,,,0
Afro Blue Impressions (Album),nan,,,,,0
'Bop Redux (Album),nan,,,,,0
Mel Lewis And Friends (Album),Mel Lewis,,,,,0
Homecoming - Live At The Village Vanguard (Album),Dexter Gordon,,,,,0
Eclypso (Album),nan,,,,,0
Afro Blue Impressions (Album),John Coltrane,,,,,0
"The 40th Anniversary, Carnegie Hall Concert (Album)",Woody Herman,,,,,0
Road Time (Album),Toshiko Akiyoshi,,,,,0
Lab '76 (Album),Leon Breeden,,,,,0
Buddy Rich Plays And Plays And Plays (Album),Buddy Rich,,,,,0
You Light Up My Life (Single),Debby Boone,,,,,0
Nobody Does It Better (Single),Carly Simon,,,,,0
Here You Come Again (Single),Dolly Parton,,,,,0
Blue Bayou (Single),Linda Ronstadt,,,,,0
When I Need You (Single),Leo Sayer,,,,,0
On And On (Single),Stephen Bishop,,,,,0
I Just Want To Be Your Everything (Single),Andy Gibb,,,,,0
After The Lovin' (Album),Engelbert Humperdinck,,,,,0
Rumours (Album),Fleetwood Mac,,,,,0
Hotel California,The Eagles Tribute Band,World's Greatest Rock Anthems - the Only Rock Tributes Album You'll Ever Need! (Deluxe Version),2010-03-29,10.0,376546.0,0
CSN (Album),nan,,,,,0
