Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,1962-06-18,56.0,170960.0,1
The First Family,Vaughn Meader,,,,,1
Columbia Records Presents Vladimir Horowitz,nan,,,,,1
What Kind Of Fool Am I? - 2000 Digital Remaster,Nancy Wilson,"Today, Tomorrow, Forever",2000-01-01,4.0,131000.0,1
A Taste of Honey,Nana Rashid,Sorrow in Sunlight,2016-11-18,1.0,259141.0,1
Ella Swings Brightly With Nelson Riddle,Ella Fitzgerald,,,,,1
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,1962-06-18,56.0,170960.0,1
Desafinado,Stan Getz,Jazz Samba,1962-01-01,49.0,349080.0,1
Adventures In Jazz,Stan Kenton,,,,,1
Cast Your Fate To The Wind,nan,,,,,1
Fly Me To The Moon Bossa Nova,Joe Harnell,,,,,1
The Colorful Peter Nero,Peter Nero,,,,,1
Baby Elephant Walk - Remastered,Nuts Nana,Tokyo Kikanbo Daughter / Baby Elephant Walk,1961-01-12,0.0,146126.0,1
I Left My Heart In San Francisco - Remastered,Nancy Wilson,"Today, Tomorrow, Forever",2000-01-01,8.0,143040.0,1
If I Had a Hammer (The Hammer Song),Nanci Griffith,Other Voices Too ( A Trip Back To Bountiful),1998-07-17,5.0,169666.0,1
Presenting The New Christy Minstrels,nan,,,,,1
String Quartet No. 3: Appalachian Strings,Nancy Galbraith,Cuarteto Latinoamericano,2008-01-01,0.0,221586.0,1
Stravinsky: The Firebird Ballet,nan,,,,,1
"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests",nan,,,,,1
Stravinsky: Violin Concerto In D,nan,,,,,1
Columbia Records Presents Vladimir Horowitz,nan,,,,,1
Verdi: Aida,nan,,,,,1
Bach: St. Matthew Passion,nan,,,,,1
Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs,nan,,,,,1
Stravinsky: The Flood,nan,,,,,1
Strauss: Also Sprach Zarathustra,nan,,,,,1
The Intimate Bach,nan,,,,,1
The First Family,Vaughn Meader,,,,,1
"The Phaedrus, By Plato",Charles Laughton,The Story-Teller .. A Session With Charles Laughton,2012-03-15,0.0,542874.0,1
Hatari,nan,,,,,1
"The Civil War, Vol. I",nan,,,,,1
Lena...Lovely And Alive,nan,,,,,1
Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra,Leonard Bernstein,,,,,1
Alley Cat,Bent Fabric,Danish Jazz Export Vol. 15,2020-12-09,31.0,152202.0,1
Funny Way Of Laughing,Burl Ives,20th Century Masters: The Best of Burl Ives - The Millennium Collection,2001-09-25,12.0,161040.0,1
I Can't Stop Loving You,Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",2009-06-02,59.0,256120.0,1
